# Swift-BAT daily average light curve for GX 3+1                        
# Generated Sun Jul 15 08:50:44 UTC 2018
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      53624       0.00097613     0.00181947   2005         254     0.00147898     0.00003416      0    2200.00000000  1959.37500000     0.00000000
      53625       0.00281466     0.00153450   2005         255     0.00124499     0.00009851      0    2512.00000000  2060.62500000     0.00000000
      53627       0.00238486     0.00062074   2005         257     0.00050009     0.00008347      0   13784.00000000 13079.43750000  9040.00000000
      53628      -0.00575615     0.00526816   2005         258     0.00427992    -0.00020147      0    3472.00000000   461.40625000     0.00000000
      53629       0.00449941     0.00104864   2005         259     0.00084289     0.00015748      0   20912.00000000  5912.33473676  4200.00000000
      53630       0.00224533     0.00967651   2005         260     0.00786682     0.00007859      2     760.00000000   130.51562643   760.00000000
      53631       0.00600014     0.00774157   2005         261     0.00629164     0.00021000      0    1784.00000000   195.26562500  1784.00000000
      53632      -0.00595153     0.01159588   2005         262     0.00942602    -0.00020830      3     768.00000000    83.43750000   768.00000000
      53633      -0.00082284     0.00113446   2005         263     0.00092202    -0.00002880      0    5888.00000000  3836.25781250  2336.00000000
      53634       0.00077022     0.00088640   2005         264     0.00072032     0.00002696      0   12024.00000000  6606.34960938  6480.00000000
      53635       0.00355549     0.00117198   2005         265     0.00094744     0.00012444      0   15280.00000000  4662.81096232 12744.00000000
      53636       0.00542093     0.00079873   2005         266     0.00063079     0.00018973      0    8720.00000000  8563.06250000  8720.00000000
      53637       0.00026273     0.00161036   2005         267     0.00130921     0.00000920      0    1968.00000000  1882.00000000  1968.00000000
      53638       0.00737374     0.00232274   2005         268     0.00187671     0.00025808      0    1360.00000000  1265.37500000     0.00000000
      53639       0.00422211     0.00074049   2005         269     0.00058991     0.00014777      0   15136.00000000 10342.80175781 14304.00000000
      53640       0.00362698     0.00073454   2005         270     0.00058820     0.00012694      0    9672.00000000  9207.90625000  9104.00000000
      53642       0.00360916     0.00197495   2005         272     0.00160236     0.00012632      0    1728.00000000  1372.87500000  1728.00000000
      53643       0.00467799     0.00093384   2005         273     0.00074746     0.00016373      0    8760.00000000  6048.19140625  3592.00000000
      53644       0.00269554     0.00086360   2005         274     0.00069791     0.00009434      0    9672.00000000  6932.43750000  6056.00000000
      53645       0.00222019     0.00092761   2005         275     0.00075150     0.00007771      0    7816.00000000  5803.87500000  4904.00000000
      53646       0.00252117     0.00097788   2005         276     0.00079178     0.00008824      0    6536.00000000  6234.62500000   384.00000000
      53647       0.00436774     0.00083845   2005         277     0.00067024     0.00015287      0    8344.00000000  8311.12500000  8344.00000000
      53648      -0.01761785     0.02754792   2005         278     0.02239107    -0.00061662      3      64.00000000    20.00000000    64.00000000
      53649       0.00222987     0.00188439   2005         279     0.00153071     0.00007805      0   10424.00000000  3125.87500000 10424.00000000
      53650       0.00029890     0.00461572   2005         280     0.00375261     0.00001046      0     824.00000000   461.68750000   824.00000000
      53651       0.00303504     0.00200174   2005         281     0.00162513     0.00010623      0   11000.00000000  2553.39062500 11000.00000000
      53652      -0.00060569     0.00429728   2005         282     0.00349368    -0.00002120      0     720.00000000   441.75000000   720.00000000
      53653       0.00410622     0.00163546   2005         283     0.00132450     0.00014372      0    4128.00000000  2472.12500000  4128.00000000
      53654       0.00570632     0.00114670   2005         284     0.00091803     0.00019972      0    5264.00000000  4399.68750000  5264.00000000
      53655       0.00350960     0.00102155   2005         285     0.00082450     0.00012284      0    6152.00000000  5930.12500000  6152.00000000
      53656       0.00466522     0.00120965   2005         286     0.00097445     0.00016328      0    6232.00000000  4776.00000000  1272.00000000
      53657       0.00025370     0.00073078   2005         287     0.00059409     0.00000888      0   16784.00000000 14612.78125000  1000.00000000
      53658       0.00358860     0.00076166   2005         288     0.00061076     0.00012560      0   18216.00000000 16135.12500000 16464.00000000
      53659       0.00377700     0.00074416   2005         289     0.00059539     0.00013220      0   16104.00000000 14235.03125000 16104.00000000
      53660       0.00378010     0.00078088   2005         290     0.00062568     0.00013230      0   18632.00000000 12611.90625000 18632.00000000
      53661       0.00187863     0.00094781   2005         291     0.00076872     0.00006575      0   19328.00000000 11747.87500000 17232.00000000
      53662       0.00204914     0.00289778   2005         292     0.00235520     0.00007172      0    3536.00000000  1300.96875000  3536.00000000
      53663       0.00223364     0.00093626   2005         293     0.00075853     0.00007818      0   14736.00000000 10071.53125000 14736.00000000
      53664       0.00225570     0.00070927   2005         294     0.00057306     0.00007895      0   18504.00000000 16694.62500000 18504.00000000
      53665       0.00266329     0.00104208   2005         295     0.00084382     0.00009322      0    8048.00000000  7421.00000000  6352.00000000
      53666       0.00562305     0.00227124   2005         296     0.00183959     0.00019681      0    1592.00000000  1410.50000000  1592.00000000
      53667       0.00399674     0.00127580   2005         297     0.00103098     0.00013989      0    6120.00000000  5475.28117132  6120.00000000
      53668       0.00186219     0.00175253   2005         298     0.00142383     0.00006518      0    3088.00000000  2730.00000000  3088.00000000
      53669       0.00332257     0.00155253   2005         299     0.00125868     0.00011629      0    3792.00000000  3191.37500000  3088.00000000
      53670       0.00333713     0.00101066   2005         300     0.00081617     0.00011680      0    6968.00000000  6588.81250000  6968.00000000
      53671       0.00478122     0.00090156   2005         301     0.00072024     0.00016734      0    8664.00000000  8741.87500000   768.00000000
      53672       0.00065736     0.00216127   2005         302     0.00175703     0.00002301      0    1600.00000000  1490.50000000   832.00000000
      53673       0.00234161     0.00135940   2005         303     0.00110320     0.00008196      0    3528.00000000  3521.75000000  2752.00000000
      53674       0.00301955     0.00087554   2005         304     0.00070661     0.00010568      0   10160.00000000 10251.75000000 10160.00000000
      53675       0.00353289     0.00078941   2005         305     0.00063388     0.00012365      0   13280.00000000 11556.93750000 12896.00000000
      53676       0.00562108     0.00070670   2005         306     0.00055184     0.00019674      0   16088.00000000 16237.43750000 14800.00000000
      53677       0.00327873     0.00074042   2005         307     0.00059469     0.00011476      0   14024.00000000 14337.81250000 13616.00000000
      53678       0.00287767     0.00117895   2005         308     0.00095499     0.00010072      0    8024.00000000  4879.75000000  5944.00000000
      53681       0.00257220     0.00088174   2005         311     0.00071311     0.00009003      0   11952.00000000  9320.31250000 11952.00000000
      53684       0.00318894     0.00112972   2005         314     0.00091398     0.00011161      0    5144.00000000  4722.12500000  5144.00000000
